label	beta	pvalue	lower_confidence_interval	upper_confidence_interval	exposure	label_units	class	subclass
Concentration of large HDL particles	-0.306823251	1.54E-05	-0.445924186	-0.167722316	BMI_European_women	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL
Phospholipids in large HDL	-0.301560608	2.35E-05	-0.441342444	-0.161778771	BMI_European_women	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL
Total cholesterol in large LDL	0.032395382	0.663378907	-0.113485221	0.178275984	BMI_European_women	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL
Cholesterol esters in large LDL	-0.007501002	0.928988457	-0.172473631	0.157471628	BMI_European_women	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL
Free cholesterol in large LDL	0.019470455	0.790895441	-0.124457046	0.163397955	BMI_European_women	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL
Total lipids in large LDL	0.003280588	0.968637525	-0.160260039	0.166821216	BMI_European_women	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL
Concentration of large LDL particles	0.011331989	0.891495974	-0.151489308	0.174153287	BMI_European_women	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL
Phospholipids in large LDL	0.040457381	0.576722374	-0.101605491	0.182520253	BMI_European_women	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL
Total cholesterol in large VLDL	0.181049589	0.002643736	0.063015093	0.299084085	BMI_European_women	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
Cholesterol esters in large VLDL	0.168158412	0.016573019	0.030602408	0.305714417	BMI_European_women	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
Free cholesterol in large VLDL	0.188475506	0.001109139	0.075203114	0.301747899	BMI_European_women	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
Total lipids in large VLDL	0.215331218	0.000389101	0.09635591	0.334306526	BMI_European_women	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
Concentration of large VLDL particles	0.192200795	0.002420837	0.067998514	0.316403076	BMI_European_women	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL
Phospholipids in large VLDL	0.216457455	7.92E-06	0.121488803	0.311426107	BMI_European_women	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
Triglycerides in large VLDL	0.22092301	3.28E-06	0.127851566	0.313994453	BMI_European_women	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
"18:2, linoleic acid"	-0.04285829	0.606827333	-0.206093866	0.120377285	BMI_European_women	"18:2, linoleic acid (mmol/l)"	Fatty acids	Fatty acids
Lactate	0.044139929	0.378238538	-0.054043814	0.142323671	BMI_European_women	Lactate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Total cholesterol in LDL	0.051370764	0.489280688	-0.094245274	0.196986801	BMI_European_women	Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol
Mean diameter for LDL particles	-0.022086152	0.691523214	-0.131184136	0.087011832	BMI_European_women	Mean diameter for LDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size
Leucine	0.19949391	2.40E-06	0.116592066	0.282395755	BMI_European_women	Leucine (mmol/l)	Amino acids	Branched-chain amino acids
Total cholesterol in medium HDL	-0.10582373	0.095656111	-0.230300735	0.018653275	BMI_European_women	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL
Cholesterol esters in medium HDL	-0.079926004	0.298473087	-0.230597308	0.070745299	BMI_European_women	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL
