label	beta	pvalue	lower_confidence_interval	upper_confidence_interval	exposure	label_units	class	subclass
Acetoacetate	0.128923865	0.087850628	-0.019121556	0.276969285	BMI_European_men	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies
Acetate	-0.045182142	0.449281692	-0.16222611	0.071861825	BMI_European_men	Acetate (mmol/l)	Ketone bodies	Ketone bodies
Alanine	-0.002402167	0.966054183	-0.113034472	0.108230138	BMI_European_men	Alanine (mmol/l)	Amino acids	Amino acids
Albumin	-0.050271379	0.542261752	-0.211959091	0.111416333	BMI_European_men	Albumin (signal area)	Fluid balance	Fluid balance
Apolipoprotein A-I	-0.136852121	0.21082052	-0.351211185	0.077506943	BMI_European_men	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins
Apolipoprotein B	0.145451445	0.022764357	0.02026964	0.270633251	BMI_European_men	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins
Ratio of bisallylic groups to double bonds	-0.142013969	0.044345677	-0.280439564	-0.003588373	BMI_European_men	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio
Ratio of bisallylic groups to total fatty acids	-0.151315636	0.061544641	-0.309950983	0.007319711	BMI_European_men	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids
3-hydroxybutyrate	0.016569271	0.829051943	-0.13383887	0.166977412	BMI_European_men	3-hydroxybutyrate (mmol/l)	Ketone bodies	Ketone bodies
Average number of methylene groups per double bond	0.143531297	0.076867108	-0.015482741	0.302545335	BMI_European_men	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio
Average number of methylene groups in a fatty acid chain	0.054459945	0.424376556	-0.079158756	0.188078647	BMI_European_men	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids
Citrate	0.024219208	0.677764902	-0.0900237	0.138462115	BMI_European_men	Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Creatinine	-0.033501304	0.640923833	-0.17428496	0.107282352	BMI_European_men	Creatinine (mmol/l)	Fluid balance	Fluid balance
Average number of double bonds in a fatty acid chain	-0.126490233	0.1196185	-0.285783822	0.032803355	BMI_European_men	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids
"22:6, docosahexaenoic acid"	-0.007446969	0.925497551	-0.163536072	0.148642134	BMI_European_men	"22:6, docosahexaenoic acid (mmol/l)"	Fatty acids	Fatty acids
Esterified cholesterol	0.057007958	0.400375763	-0.075860291	0.189876206	BMI_European_men	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol
"Estimated description of fatty acid chain length, not actual carbon number"	-0.09181794	0.195412686	-0.230814395	0.047178515	BMI_European_men	"Estimated description of fatty acid chain length, not actual carbon number"	Fatty acids	Fatty acids
Omega-3 fatty acids	0.029924161	0.680621122	-0.112566408	0.17241473	BMI_European_men	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids
Omega-6 fatty acids	0.026235625	0.70953002	-0.111814225	0.164285475	BMI_European_men	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids
