label	beta	pvalue	lower_confidence_interval	upper_confidence_interval	exposure	label_units	class	subclass
Acetoacetate	0.130713476	0.004995017	0.03945376	0.221973191	BMI_European_sc	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies
Acetate	-0.034938956	0.420985675	-0.120038125	0.050160212	BMI_European_sc	Acetate (mmol/l)	Ketone bodies	Ketone bodies
Alanine	-0.007082337	0.881008217	-0.099815758	0.085651083	BMI_European_sc	Alanine (mmol/l)	Amino acids	Amino acids
Albumin	-0.110114585	0.050660453	-0.220547803	0.000318633	BMI_European_sc	Albumin (signal area)	Fluid balance	Fluid balance
Apolipoprotein A-I	-0.236455948	0.000281603	-0.364070734	-0.108841161	BMI_European_sc	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins
Apolipoprotein B	0.11107171	0.151636702	-0.040765691	0.262909112	BMI_European_sc	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins
Ratio of bisallylic groups to double bonds	-0.124497752	0.029712781	-0.236745692	-0.012249812	BMI_European_sc	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio
Ratio of bisallylic groups to total fatty acids	-0.165395151	0.006154744	-0.283732001	-0.047058301	BMI_European_sc	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids
3-hydroxybutyrate	0.011581274	0.81406149	-0.084933565	0.108096114	BMI_European_sc	3-hydroxybutyrate (mmol/l)	Ketone bodies	Ketone bodies
Average number of methylene groups per double bond	0.162383714	0.00465544	0.049918335	0.274849093	BMI_European_sc	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio
Average number of methylene groups in a fatty acid chain	0.104034825	0.035144889	0.007243776	0.200825874	BMI_European_sc	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids
Citrate	0.014227977	0.748788925	-0.072853975	0.101309929	BMI_European_sc	Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Creatinine	0.024873666	0.648162112	-0.08196521	0.131712541	BMI_European_sc	Creatinine (mmol/l)	Fluid balance	Fluid balance
Average number of double bonds in a fatty acid chain	-0.140304221	0.01703743	-0.255563196	-0.025045246	BMI_European_sc	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids
"22:6, docosahexaenoic acid"	-0.088651484	0.147769926	-0.208694649	0.03139168	BMI_European_sc	"22:6, docosahexaenoic acid (mmol/l)"	Fatty acids	Fatty acids
Esterified cholesterol	-0.09490956	0.23542275	-0.251691594	0.061872474	BMI_European_sc	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol
"Estimated description of fatty acid chain length, not actual carbon number"	-0.082457109	0.153216843	-0.195612876	0.030698659	BMI_European_sc	"Estimated description of fatty acid chain length, not actual carbon number"	Fatty acids	Fatty acids
Omega-3 fatty acids	-0.07404887	0.221749171	-0.192828603	0.044730863	BMI_European_sc	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids
Omega-6 fatty acids	-0.077581082	0.299437497	-0.224124065	0.068961901	BMI_European_sc	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids
"Omega-7, omega-9 and saturated fatty acids"	0.004139597	0.945489943	-0.114529962	0.122809156	BMI_European_sc	"Omega-7, omega-9 and saturated fatty acids"	Fatty acids	Fatty acids
Free cholesterol	-0.054895679	0.451341411	-0.197750572	0.087959214	BMI_European_sc	Free cholesterol (mmol/l)	Cholesterol	Cholesterol
Glucose	0.082881248	0.040451948	0.003604038	0.162158458	BMI_European_sc	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Glutamine	-0.082249965	0.10161666	-0.180724873	0.016224942	BMI_European_sc	Glutamine (mmol/l)	Amino acids	Amino acids
Glycerol	0.130475233	0.013622853	0.026816736	0.234133729	BMI_European_sc	Glycerol (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Glycoproteins	-0.040171656	0.487016911	-0.15345152	0.073108208	BMI_European_sc	Glycoproteins	Protein	Protein
"Glycoprotein acetyls, mainly a1-acid glycoprotein"	0.209224923	0.000304626	0.095671094	0.322778752	BMI_European_sc	"Glycoprotein acetyls, mainly a1-acid glycoprotein (mmol/l)"	Inflammation	Inflammation
Total cholesterol in HDL	-0.256277575	6.35E-05	-0.38187777	-0.130677381	BMI_European_sc	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol
Mean diameter for HDL particles	-0.281286964	6.63E-05	-0.419491914	-0.143082014	BMI_European_sc	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size
Histidine	-0.037788192	0.494315455	-0.146155509	0.070579124	BMI_European_sc	Histidine (mmol/l)	Amino acids	Amino acids
Total cholesterol in IDL	-0.028345049	0.718221773	-0.182310393	0.125620295	BMI_European_sc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL
