exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
BMI	Concentration of large LDL particles	Lipoprotein subclasses	Large LDL	0.0613047785705527	-0.0510247039585488	0.173634261099654	0.284760304722955
BMI	Phospholipids in large LDL	Lipoprotein subclasses	Large LDL	0.0665267633248834	-0.0337833701457577	0.166836896795524	0.193637590644852
BMI	Total cholesterol in large VLDL	Lipoprotein subclasses	Large VLDL	0.142737685806546	0.0596162021086627	0.225859169504429	0.000763367561213514
BMI	Cholesterol esters in large VLDL	Lipoprotein subclasses	Large VLDL	0.134319903482085	0.0444731423429851	0.224166664621185	0.00338767792052283
BMI	Free cholesterol in large VLDL	Lipoprotein subclasses	Large VLDL	0.145028244554586	0.0613018742423318	0.22875461486684	0.000686156319060673
BMI	Total lipids in large VLDL	Lipoprotein subclasses	Large VLDL	0.163508094620462	0.0781664361056493	0.248849753135275	0.000173196068489213
BMI	Concentration of large VLDL particles	Lipoprotein subclasses	Large VLDL	0.136271361876445	0.0453802152039833	0.227162508548907	0.00329708276605078
BMI	Phospholipids in large VLDL	Lipoprotein subclasses	Large VLDL	0.162806940614876	0.0766681957935588	0.248945685436193	0.000211802061136508
BMI	Triglycerides in large VLDL	Lipoprotein subclasses	Large VLDL	0.170617397178255	0.0874660446291603	0.25376874972735	5.77787216333897e-05
BMI	18:2, linoleic acid	Fatty acids	Fatty acids	-0.0477830513136599	-0.159803182035214	0.0642370794078947	0.403125016062598
BMI	Lactate	Glycolysis related metabolites	Glycolysis related metabolites	0.0350035694598645	-0.0407761479446012	0.11078328686433	0.365281190642542
BMI	Total cholesterol in LDL	Cholesterol	Cholesterol	0.0740661883458212	-0.0347313844513001	0.182863761142943	0.18210216182459
BMI	Mean diameter for LDL particles	Lipoprotein particle size	Lipoprotein particle size	0.0277844611870962	-0.0610453697957074	0.1166142921699	0.539840182702692
BMI	Leucine	Amino acids	Branched-chain amino acids	0.139779644300018	0.0640444688760019	0.215514819724034	0.000297521412402741
BMI	Total cholesterol in medium HDL	Lipoprotein subclasses	Medium HDL	-0.116140857956461	-0.198780977727013	-0.0335007381859091	0.00587734747258199
BMI	Cholesterol esters in medium HDL	Lipoprotein subclasses	Medium HDL	-0.115019574079985	-0.205066383017204	-0.0249727651427662	0.0122947836273932
BMI	Free cholesterol in medium HDL	Lipoprotein subclasses	Medium HDL	-0.118370925081965	-0.197571614396786	-0.0391702357671441	0.00339665172229909
BMI	Total lipids in medium HDL	Lipoprotein subclasses	Medium HDL	-0.0783726063077033	-0.164944029707545	0.00819881709213839	0.076000876925821
BMI	Concentration of medium HDL particles	Lipoprotein subclasses	Medium HDL	-0.0628923906400296	-0.148235122250983	0.022450340970924	0.148626345411376
BMI	Phospholipids in medium HDL	Lipoprotein subclasses	Medium HDL	-0.0760409365311645	-0.156387934109196	0.00430606104686745	0.0636023494606458
BMI	Total cholesterol in medium LDL	Lipoprotein subclasses	Medium LDL	0.061904839393925	-0.0464351181707118	0.170244796958562	0.262742347792002
BMI	Cholesterol esters in medium LDL	Lipoprotein subclasses	Medium LDL	0.0458328566310628	-0.0701797732459098	0.161845486508035	0.438733938074711
BMI	Total lipids in medium LDL	Lipoprotein subclasses	Medium LDL	0.0546388352925812	-0.0630265691970262	0.172304239782189	0.362748117483412
BMI	Concentration of medium LDL particles	Lipoprotein subclasses	Medium LDL	0.0596862596950983	-0.057548709564796	0.176921228954993	0.3183431859903
BMI	Phospholipids in medium LDL	Lipoprotein subclasses	Medium LDL	0.0518878907666723	-0.053114985562979	0.156890767096324	0.332771043936857
BMI	Total cholesterol in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.114492149918506	0.0240468671727515	0.20493743266426	0.0130974279378208
BMI	Cholesterol esters in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.100321803090076	0.00408926475551123	0.196554341424641	0.0410239951226555
BMI	Free cholesterol in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.128122733205887	0.0379286348840664	0.218316831527708	0.00536559940390566
BMI	Total lipids in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.122968165999882	0.0285183423733661	0.217417989626398	0.0107166241205123
BMI	Concentration of medium VLDL particles	Lipoprotein subclasses	Medium VLDL	0.14337098713013	0.0493121394120278	0.237429834848232	0.00281207402525433
BMI	Phospholipids in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.142273327996909	0.0518750535046925	0.232671602489125	0.00203726000487342
BMI	Triglycerides in medium VLDL	Lipoprotein subclasses	Medium VLDL	0.161810045743795	0.0757625087110743	0.247857582776516	0.00022805113477976
BMI	Mono-unsaturated fatty acids	Fatty acids	Fatty acids	0.0757672728493705	-0.0341562961766464	0.185690841875387	0.176703845904256
BMI	Other polyunsaturated fatty acids than 18:2	Fatty acids	Fatty acids	0.0113856499290699	-0.0934402146247168	0.116211514482857	0.831416516001734
BMI	Phosphatidylcholine and other cholines	Glycerides and phospholipids	Glycerides and phospholipids	-0.0775826021359827	-0.177214075774337	0.0220488715023715	0.126949205906751
BMI	Phenylalanine	Amino acids	Aromatic amino acids	0.235138275384463	0.165533097761077	0.304743453007849	3.56252343136296e-11
BMI	Pyruvate	Glycolysis related metabolites	Glycolysis related metabolites	0.0185826630120991	-0.0636029404532503	0.100768266477449	0.65764431107853
BMI	Total lipids in small HDL	Lipoprotein subclasses	Small HDL	0.00570184282509418	-0.0798526202816666	0.091256305931855	0.896071408433221
BMI	Concentration of small HDL particles	Lipoprotein subclasses	Small HDL	-0.0104491038000235	-0.097577747357318	0.076679539757271	0.814164084023446
BMI	Triglycerides in small HDL	Lipoprotein subclasses	Small HDL	0.158189362452182	0.0742724778093674	0.242106247094997	0.000220111076542572
BMI	Total cholesterol in small LDL	Lipoprotein subclasses	Small LDL	0.0896583438460838	-0.0198871189435365	0.199203806635704	0.108674958334473
BMI	Total lipids in small LDL	Lipoprotein subclasses	Small LDL	0.0659488520443036	-0.0529446069229801	0.184842311011587	0.276952959502023
BMI	Concentration of small LDL particles	Lipoprotein subclasses	Small LDL	0.0566235698779983	-0.0603506780005234	0.17359781775652	0.342735255480332
BMI	Total cholesterol in small VLDL	Lipoprotein subclasses	Small VLDL	0.0817454896198601	-0.0119049113396769	0.175395890579397	0.0871100465746394
BMI	Free cholesterol in small VLDL	Lipoprotein subclasses	Small VLDL	0.0996978117728137	0.00606627216530746	0.19332935138032	0.0368894012845595
BMI	Total lipids in small VLDL	Lipoprotein subclasses	Small VLDL	0.105983144367128	0.00337683046368061	0.208589458270575	0.0429182506676974
